acidofilus	acidofilus-
flødeskum	flødeskums-
foder	foder-
fodfolk	fodfolks-
folio	folio-
folkeliv	folkelivs-
folkeret	folkerets-
folkesundhed	folkesundheds-
followup	followup-
fordøjelse	fordøjelses-
forebyggelse	forebyggelses-
forhud	forhuds-
forhånd	forhånds-
forkulning	forkulnings-
forlyd	forlyds-
formaling	formalings-
formuldning	formuldnings-
fornuft	fornufts-
forplantning	forplantnings-
forrådnelse	forrådnelses-
forskellig	forskellig-
forskning	forsknings-
forsorg	forsorgs-
forstand	forstands-
forstøvning	forstøvnings-
forsyn	forsyns-
forsørgelse	forsørgelses-
fortrydelse	fortrydelses-
fortunge	fortunge-
forundring	forundrings-
forvarmning	forvarmnings-
foryngelse	foryngelses-
forældelse	forældelses-
fosfor	fosfor-
fostervand	fostervands-
franchising	franchising-
fredsforskning	fredsforsknings-
fremdrift	fremdrifts-
fremmedgørelse	fremmedgørelses-
fribord	fribords-
frihandel	frihandels-
friland	frilands-
frilæsning	frilæsnings-
friskluft	friskluft- el. frisklufts-
fritid	fritids-
friture	friture-
frost	frost-
fryd	fryde-
frøavl	frøavls-
fugt	fugt-
fuldblod	fuldblods-
fuldkorn	fuldkorns-
fuldtid	fuldtids-
funk	funk-
funkis	funkis-
fækalier	fækalie-
fælles	fælles-
fælleskøn	fælleskøns-
færdsel	færdsels-
fødevand	fødevands-
førstehjælp	førstehjælps-
førstehånds	førstehånds-
fårekød	fårekød- el. fårekøds-
gadeplan	gadeplans-
galla	galla-
gedemælk	gedemælks-
genbrug	genbrugs-
genforskning	genforsknings-
genopbygning	genopbygnings-
genopdragelse	genopdragelses-
gigt	gigt-
ginkgo	ginkgo-
ginseng	ginseng-
glasuld	glasuld- el. glasulds-
glasvæv	glasvævs-
glatføre	glatføre-
glemsel	glemsels-
glimmer	glimmer-
globalisering	globaliserings-
glycerin	glycerin-
goderåd	goderåd-
goodwill	goodwill-
gospel	gospel-
grundskyld	grundskyld- el. grundskylds-
grundvand	grundvands-
grundviden	grundvidens-
grunge	grunge-
grønjord	grønjords-
grønsand	grønsands-
gråvejr	gråvejrs-
guld	guld-
guldalder	guldalder-
gullasch	gullasch-
gullig	gullig-
gylle	gylle-
gymnastik	gymnastik-
gytje	gytje-
gæld	gæld-
gåsehud	gåsehuds-
habilitet	habilitets-
halloween	halloween-
halm	halm-
halvdags	halvdags-
hamp	hamp- el. hampe-
hankøn	hankøns-
hardrock	hardrock-
hartkorn	hartkorns-
hash	hash-
hastværk	hastværks-
havret	havrets-
havvand	havvands-
healing	healing-
heldags	heldags-
heluld	helulds-
henstand	henstands-
heroin	heroin-
herpes	herpes-
herretøj	herretøjs-
hestekød	hestekød- el. hestekøds-
hightech	hightech-
hiphop	hiphop-
hird	hird-
hittegods	hittegods-
hjemmehjælp	hjemmehjælps-
hovedspil	hovedspils-
hoveri	hoveri-
hudpleje	hudpleje-
humle	humle-
humus	humus-
hunger	hunger-
hungersnød	hungersnød- el. hungersnøds-
hunkøn	hunkøns-
husflid	husflids-
hushjælp	hushjælps-
husstøv	husstøv-
husvild	husvilde-
hvedemel	hvedemels-
hvermand	hvermands-
