anekdotisk	 itk. d.s., -e 
anfægtelig	 -t, -e
angelsaksisk	 itk. d.s., -e 
angerfuld	 -t, -e 
angergiven	 -t, angergivne 
angivelig	 -t, -e, som adv. også uden -t
anglikansk	 itk. d.s., -e
angloamerikansk	 itk. d.s., -e 
anglofil	 -t, -e 
angloman	 -t, -e 
angolansk	 itk. d.s., -e 
angribelig	 -t, -e
animalsk	 itk. d.s., -e 
animere	 -r, -de, -t 
animistisk	 itk. d.s., -e 
ankellang	 -t, -e
anløben	 -t, anløbne 
anløbet	 anløbne 
annalistisk	 itk. d.s., -e 
anomal	 -t, -e 
anonym	 -t, -e
anorektisk	 itk. d.s., -e 
anormal	 -t, -e 
anse	 anser, anså, anset
anseelig	 -t, -e 
anselig	 -t, -e 
ansigtsløs	 -t, -e 
anskreven	 anskrevet, anskrevne
anskrevet	 anskrevne
anskuelig	 -t, -e 
anspændt	 -e
anstrengt	 -e
anstændig	 -t, -e
anstødelig	 -t, -e 
ansvarlig	 -t, -e
ansvarsbevidst	 -e
ansvarsforsikret	 ansvarsforsikrede
ansvarsfri	 -t, -e el. ansvarsfri
ansvarsløs	 -t, -e 
antagonistisk	 itk. d.s., -e 
antarktisk	 itk. d.s., -e 
antediluviansk	 itk. d.s., -e 
antibiotisk	 itk. d.s., -e 
antidepressiv	 -e 
antikonceptionel	 -t, -le 
antikvarisk	 itk. d.s., -e 
antikveret	 antikverede 
antilogaritmisk	 itk. d.s., -e 
antimilitaristisk	 itk. d.s., -e
antipatisk	 itk. d.s., -e 
antipodisk	 itk. d.s., -e 
antirefleksbehandlet	 -e
antisemitisk	 itk. d.s., -e 
antiseptisk	 itk. d.s., -e 
antistatisk	 itk. d.s., -e 
antistofpositiv	 -t, -e 
antitetisk	 itk. d.s., -e 
antitoksisk	 itk. d.s., -e 
antropologisk	 itk. d.s., -e 
antropomorf	 -t, -e 
antydningsvis	 itk. d.s. el. -t, -e
antændelig	 -t, -e
anvendelig	 -t, -e
anæmisk	 itk. d.s., -e 
anæstesiologisk	 itk. d.s., -e
apatisk	 itk. d.s., -e 
aperiodisk	 itk. d.s., -e 
apokalyptisk	 itk. d.s., -e 
apokryfisk	 itk. d.s., -e 
apolitisk	 itk. d.s., -e 
apollinsk	 itk. d.s., -e 
apologetisk	 itk. d.s., -e 
apoplektisk	 itk. d.s., -e 
apostolisk	 itk. d.s., -e 
apostolsk	 itk. d.s., -e 
appellabel	 -t, appellable 
appellativisk	 itk. d.s., -e 
appetitlig	 -t, -e
approksimativ	 -t, -e 
apriorisk	 itk. d.s., -e 
arabisk	 itk. d.s., -e
aramæisk	 itk. d.s., -e 
arbejdsdygtig	 -t, -e
arbejdsfri	 -t, -e el. arbejdsfri
arbejdsledig	 -t, -e
arbejdsløs	 -t, -e
arbejdsmedicinsk	 itk. d.s., -e
arbejdsom	 -t, -me
arbejdsudygtig	 -t, -e 
arbitrær	 -t, -e 
arealmæssig	 -t, -e
arg	 -t, -e
argentinsk	 itk. d.s., -e
argumentatorisk	 itk. d.s., -e 
arisk	 itk. d.s., -e 
aristokratisk	 itk. d.s., -e 
aristotelisk	 itk. d.s., -e 
aritmetisk	 itk. d.s., -e 
arkadisk	 itk. d.s., -e 
arkaisk	 itk. d.s., -e 
arkaistisk	 itk. d.s., -e 
arketypisk	 itk. d.s., -e 
arkimedisk	 itk. d.s., -e 
arkitektonisk	 itk. d.s., -e 
arkitekttegnet	 arkitekttegnede
arktisk	 itk. d.s., -e 
arkæologisk	 itk. d.s., -e
armensk	 itk. d.s., -e 
armodig	 -t, -e 
armygrøn	 -t, -ne
aromatisk	 itk. d.s., -e 
arre	 -r, -de, -t 
arrig	 -t, -e
arrogant	 -e 
arsenikholdig	 -t, -e
arteriel	 -t, -le 
artesisk	 itk. d.s., -e
artificiel	 -t, -le 
artig	 -t, -e
artikulatorisk	 itk. d.s., -e 
artistisk	 itk. d.s., -e 
artsfremmed	 -e
artsrig	 -t, -e 
arveberettiget	 arveberettigede
arvelig	 -t, -e
arveløs	 -t, -e
arveretlig	 -t, -e
arveretslig	 -t, -e
aseksuel	 -t, -le 
aseptisk	 itk. d.s., -e 
aserbajdsjansk	 itk. d.s., -e
asiatisk	 itk. d.s., -e 
askeblond	 itk. d.s. el. -t, -e
askegrå	 -t, askegrå
asketisk	 itk. d.s., -e 
asocial	 -t, -e 
assertiv	 -t, -e 
associativ	 -t, -e 
assorteret	 assorterede 
assyrisk	 itk. d.s., -e 
astenisk	 itk. d.s., -e 
astmatisk	 itk. d.s., -e 
astral	 -t, -e 
astrofysisk	 itk. d.s., -e
astrologisk	 itk. d.s., -e
