affaldsskakt	 -en, -e el. -er, -ene el. -erne
affaldsstof	 -fet, -fer, -ferne
affarvning	 -en, -er, -erne
affattelse	 -n, -r, -rne
affedning	 -en, 
affedtning	 -en
affejning	 -en, -er, -erne
affekt	 -en, -er, -erne 
affektation	 -en 
affektion	 -en, -er, -erne 
affektionsværdi	 -en 
affindelsessum	 -men, -mer, -merne 
affinitet	 -en, -er, -erne 
affirmation	 -en, -er, -erne 
affjedring	 -en, -er, -erne
affladning	 -en, -er, -erne
affodring	 -en, -er, -erne
affolkning	 -en, 
affordring	 -en, -er, -erne
affotografering	 -en, -er, -erne
affugter	 -en, -e, -ne
affugtning	 -en, 
affutage	 -n, -r, -rne 
affyring	 -en, -er, -erne
affærdigelse	 -n, -r, -rne
affære	 -n, -r, -rne 
affødning	 -en
afførelse	 -n
afføring	 -en, 
afgang	 -en, -e, -ene
afgangseksamen	 -en, -er el. afgangseksaminer, -erne el. afgangseksaminerne
afgangshal	 -len, -ler, -lerne
afgangsklasse	 -n, -r, -rne
afgangsprøve	 -n, -r, -rne
afgasning	 -en, -er, -erne
afghaner	 -en, -e, -ne 
afgiftning	 -en, -er, -erne
afgivelse	 -n, -r, -rne
afgivning	 -en, -er, -erne
afglans	 -en 
afglatning	 -en, -er, -erne
afgnavning	 -en, -er, -erne
afgnidning	 -en, -er, -erne
afgravning	 -en, -er, -erne
afgrening	 -en, -er, -erne
afgrund	 -en, -e, -ene
afgrænsning	 -en, -er, -erne
afgræsning	 -en, -er, -erne
afgrøde	 -n, -r, -rne
afgrøftning	 -en, -er, -erne
afgud	 -en, -er, -erne
afguderi	 -et 
afgørelse	 -n, -r, -rne
afhandling	 -en, -er, -erne 
afhaspning	 -en, -er, -erne
afhentning	 -en, -er, -erne
afhjemling	 -en, -er, -erne
afhjælpning	 -en, -er, -erne
afholdelse	 -n
afholdenhed	 -en
afholdsbevægelse	 -n, -r, -rne
afholdsforening	 -en, -er, -erne
afholdsmand	 -en, afholdsmænd, afholdsmændene 
afhopning	 -en, -er, -erne
afhopper	 -en, -e, -ne
afhorning	 -en, -er, -erne
afhudning	 -en, -er, -erne
afhugning	 -en, -er, -erne
afhændelse	 -n, -r, -rne
afhængighed	 -en, -er, -erne
afhængighedsfald	 -et, afhængighedsfald, -ene 
afhærdning	 -en, -er, -erne
afhøring	 -en, -er, -erne
afhøstning	 -en, -er, -erne
afhøvling	 -en, -er, -erne
aficionado	 -en, -er, -erne 
afideologisering	 -en, -er, -erne
afindustrialisering	 -en, -er, -erne
afinstallation	 -en, -er, -erne
afinstallering	 -en, -er, -erne
afisning	 -en, -er, -erne
afkald	 -et, afkald, -ene
afkalkning	 -en, -er, -erne
afkast	 -et, afkast, -ene afkastning	 -en, -er, -erne
afklapsning	 -en, -er, -erne
afklaring	 -en, 
afklædning	 -en, -er, -erne
afkobling	 -en, -er, -erne
afkoder	 -en, -e, -ne
afkodning	 -en, -er, -erne
afkog	 -et, afkog, -ene 
afkogning	 -en, -er, -erne
afkolonisering	 -en, -er, -erne
afkom	 -met , 
afkortelse	 -n, -r, -rne
afkorter	 -en, -e, -ne
afkortning	 -en, -er, -erne
afkriminalisering	 -en, -er, -erne
afkristning	 -en, 
afkrog	 -en, -e, -ene 
afkrydsning	 -en, -er, -erne
afkræftelse	 -n, -r, -rne
afkrævning	 -en, -er, -erne
afkvistning	 -en, -er, -erne
afkøling	 -en, -er, -erne
afkørsel	 afkørslen, afkørsler, afkørslerne
aflad	 -en , 
afladning	 -en, -er, -erne
afladsbrev	 -et, -e, -ene 
aflægge	 -r, aflagde, aflagt
aflastning	 -en, -er, -erne
aflastningsfamilie	 -n, -r, -rne
aflatoksin	 -et , 
aflede	 -r, afledte, -t el. afledt
afledning	 -en, -er, -erne
afledningsmanøvre	 -n, -r, -rne 
aflejring	 -en, -er, -erne
aflevering	 -en, -er, -erne
afliring	 -en, -er, -erne
aflivning	 -en, -er, -erne
aflokkelse	 -n, -r, -rne
aflukning	 -en, -er, -erne
afluring	 -en, -er, -erne
aflusning	 -en, -er, -erne
aflyd	 -en , 
aflysning	 -en, -er, -erne
aflytning	 -en, -er, -erne
aflæggelse	 -n, -r, -rne
aflæggeplads	 -en, -er, -erne
aflægning	 -en, -er, -erne
aflæring	 -en, -er, -erne
aflæse	 -r, aflæste, aflæst
aflæsser	 -en, -e, -ne
afløb	 -et, afløb, -ene
afløbsrør	 -et, afløbsrør, -ene
aflønning	 -en, -er, -erne
afløser	 -en, -e, -ne
afløsning	 -en, -er, -erne
afløvning	 -en, -er, -erne
aflåsning	 -en, -er, -erne
afmagnetisering	 -en, -er, -erne
afmagring	 -en, -er, -erne
afmagringskur	 -en, -e, -ene
afmagt	 -en , 
afmarch	 -en, -er, -erne
afmatning	 -en, -er, -erne
afmattelse	 -n, -r, -rne
afmejning	 -en, -er, -erne
afmeldelse	 -n, -r, -rne
afmelding	 -en, -er, -erne
afmilitarisering	 -en, -er, -erne
afmontering	 -en, -er, -erne
afmystificering	 -en, -er, -erne
afmytologisering	 -en, -er, -erne
afmærkning	 -en, -er, -erne
afmønstring	 -en, -er, -erne
afmåling	 -en, -er, -erne
afnakning	 -en, -er, -erne
afnationalisering	 -en, -er, -erne
afnazificering	 -en, -er, -erne
aforisme	 -n, -r, -rne 
afparering	 -en, -er, -erne
afpasning	 -en, 
afpatruljering	 -en, -er, -erne
afpersonalisering	 -en, -er, -erne
